Id,Label,League
sampdoria,sampdoria,ita-serie-a
empoli-fc,empoli-fc,ita-serie-a
frosinone-calcio,frosinone-calcio,ita-serie-a
cagliari-calcio,cagliari-calcio,ita-serie-a
as-roma,as-roma,ita-serie-a
sassuolo-calcio,sassuolo-calcio,ita-serie-a
juventus,juventus,ita-serie-a
genoa-cfc,genoa-cfc,ita-serie-a
atalanta,atalanta,ita-serie-a
udinese-calcio,udinese-calcio,ita-serie-a
parma-calcio-1913,parma-calcio-1913,ita-serie-a
bologna-fc,bologna-fc,ita-serie-a
lazio-roma,lazio-roma,ita-serie-a
ac-milan,ac-milan,ita-serie-a
inter,inter,ita-serie-a
ssc-napoli,ssc-napoli,ita-serie-a
torino-fc,torino-fc,ita-serie-a
chievo-verona,chievo-verona,ita-serie-a
spal-2013-ferrara,spal-2013-ferrara,ita-serie-a
acf-fiorentina,acf-fiorentina,ita-serie-a
afc-ajax,afc-ajax,ned-eredivisie
vitesse,vitesse,ned-eredivisie
fortuna-sittard,fortuna-sittard,ned-eredivisie
psv-eindhoven,psv-eindhoven,ned-eredivisie
ado-den-haag,ado-den-haag,ned-eredivisie
nac-breda,nac-breda,ned-eredivisie
fc-emmen,fc-emmen,ned-eredivisie
pec-zwolle,pec-zwolle,ned-eredivisie
fc-groningen,fc-groningen,ned-eredivisie
sc-heerenveen,sc-heerenveen,ned-eredivisie
sbv-excelsior,sbv-excelsior,ned-eredivisie
az-alkmaar,az-alkmaar,ned-eredivisie
de-graafschap,de-graafschap,ned-eredivisie
feyenoord,feyenoord,ned-eredivisie
vvv-venlo,vvv-venlo,ned-eredivisie
fc-utrecht,fc-utrecht,ned-eredivisie
willem-ii,willem-ii,ned-eredivisie
heracles-almelo,heracles-almelo,ned-eredivisie
brighton-hove-albion,brighton-hove-albion,eng-premier-league
leicester-city,leicester-city,eng-premier-league
west-ham-united,west-ham-united,eng-premier-league
crystal-palace,crystal-palace,eng-premier-league
arsenal-fc,arsenal-fc,eng-premier-league
watford-fc,watford-fc,eng-premier-league
southampton-fc,southampton-fc,eng-premier-league
tottenham-hotspur,tottenham-hotspur,eng-premier-league
manchester-city,manchester-city,eng-premier-league
huddersfield-town,huddersfield-town,eng-premier-league
liverpool-fc,liverpool-fc,eng-premier-league
manchester-united,manchester-united,eng-premier-league
wolverhampton-wanderers,wolverhampton-wanderers,eng-premier-league
burnley-fc,burnley-fc,eng-premier-league
newcastle-united,newcastle-united,eng-premier-league
cardiff-city,cardiff-city,eng-premier-league
everton-fc,everton-fc,eng-premier-league
chelsea-fc,chelsea-fc,eng-premier-league
afc-bournemouth,afc-bournemouth,eng-premier-league
fulham-fc,fulham-fc,eng-premier-league
bor-moenchengladbach,bor-moenchengladbach,bundesliga
fc-schalke-04,fc-schalke-04,bundesliga
bayer-leverkusen,bayer-leverkusen,bundesliga
vfl-wolfsburg,vfl-wolfsburg,bundesliga
fc-augsburg,fc-augsburg,bundesliga
borussia-dortmund,borussia-dortmund,bundesliga
fortuna-duesseldorf,fortuna-duesseldorf,bundesliga
eintracht-frankfurt,eintracht-frankfurt,bundesliga
1-fsv-mainz-05,1-fsv-mainz-05,bundesliga
hannover-96,hannover-96,bundesliga
vfb-stuttgart,vfb-stuttgart,bundesliga
sc-freiburg,sc-freiburg,bundesliga
hertha-bsc,hertha-bsc,bundesliga
bayern-muenchen,bayern-muenchen,bundesliga
rb-leipzig,rb-leipzig,bundesliga
1-fc-nuernberg,1-fc-nuernberg,bundesliga
1899-hoffenheim,1899-hoffenheim,bundesliga
werder-bremen,werder-bremen,bundesliga
as-saint-etienne,as-saint-etienne,fra-ligue-1
angers-sco,angers-sco,fra-ligue-1
amiens-sc,amiens-sc,fra-ligue-1
as-monaco,as-monaco,fra-ligue-1
ogc-nice,ogc-nice,fra-ligue-1
paris-saint-germain,paris-saint-germain,fra-ligue-1
girondins-bordeaux,girondins-bordeaux,fra-ligue-1
rc-strasbourg,rc-strasbourg,fra-ligue-1
sm-caen,sm-caen,fra-ligue-1
fc-nantes,fc-nantes,fra-ligue-1
dijon-fco,dijon-fco,fra-ligue-1
stade-reims,stade-reims,fra-ligue-1
toulouse-fc,toulouse-fc,fra-ligue-1
lille-osc,lille-osc,fra-ligue-1
olympique-lyon,olympique-lyon,fra-ligue-1
montpellier-hsc,montpellier-hsc,fra-ligue-1
stade-rennes,stade-rennes,fra-ligue-1
ea-guingamp,ea-guingamp,fra-ligue-1
olympique-marseille,olympique-marseille,fra-ligue-1
nimes-olympique,nimes-olympique,fra-ligue-1
cd-leganes,cd-leganes,esp-primera-division
real-betis,real-betis,esp-primera-division
sevilla-fc,sevilla-fc,esp-primera-division
sd-eibar,sd-eibar,esp-primera-division
celta-vigo,celta-vigo,esp-primera-division
rayo-vallecano,rayo-vallecano,esp-primera-division
atletico-madrid,atletico-madrid,esp-primera-division
real-valladolid,real-valladolid,esp-primera-division
real-madrid,real-madrid,esp-primera-division
sd-huesca,sd-huesca,esp-primera-division
real-sociedad,real-sociedad,esp-primera-division
valencia-cf,valencia-cf,esp-primera-division
cd-alaves,cd-alaves,esp-primera-division
levante-ud,levante-ud,esp-primera-division
espanyol-barcelona,espanyol-barcelona,esp-primera-division
villarreal-cf,villarreal-cf,esp-primera-division
girona-fc,girona-fc,esp-primera-division
athletic-bilbao,athletic-bilbao,esp-primera-division
fc-barcelona,fc-barcelona,esp-primera-division
getafe-cf,getafe-cf,esp-primera-division
